Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
461,ENERGY,104.778206,103.49875,80,76.18561,NaN
461,FOOD,52.33395,51.66919,80,76.386154,NaN
461,METAL,78.35077,79.65599,80,75.68349,NaN
462,ENERGY,101.71573,100.47367,80,76.18561,NaN
462,FOOD,50.91805,50.271275,80,76.386154,NaN
462,METAL,77.742836,79.037926,80,75.68349,NaN
463,ENERGY,100.93893,99.70635,80,76.18561,NaN
463,FOOD,52.04328,51.382214,80,76.386154,NaN
463,METAL,77.3223,78.61039,80,75.68349,NaN
464,ENERGY,100.54124,99.31352,80,76.18561,NaN
464,FOOD,51.41874,50.765602,80,76.386154,NaN
464,METAL,77.435974,78.72595,80,75.68349,NaN
465,ENERGY,102.76438,101.509514,80,76.18561,NaN
465,FOOD,50.390774,49.750694,80,76.386154,NaN
465,METAL,76.06109,77.32816,80,75.68349,NaN
466,ENERGY,99.98958,98.7686,80,76.18561,NaN
466,FOOD,51.318054,50.6662,80,76.386154,NaN
466,METAL,75.820145,77.083206,80,75.68349,NaN
467,ENERGY,98.94156,97.733376,80,76.18561,NaN
467,FOOD,51.27698,50.625645,80,76.386154,NaN
467,METAL,75.55504,76.81368,80,75.68349,NaN
468,ENERGY,96.49797,95.319626,80,76.18561,NaN
468,FOOD,51.588135,50.932846,80,76.386154,NaN
468,METAL,76.12957,77.39779,80,75.68349,NaN
469,ENERGY,96.675705,95.49519,80,76.18561,NaN
469,FOOD,51.420696,50.767536,80,76.386154,NaN
469,METAL,75.35662,76.61196,80,75.68349,NaN
470,ENERGY,94.793,93.635475,80,76.18561,NaN
470,FOOD,50.86721,50.22108,80,76.386154,NaN
470,METAL,76.31969,77.59107,80,75.68349,NaN
471,ENERGY,96.777664,95.5959,80,76.18561,NaN
471,FOOD,49.51303,48.8841,80,76.386154,NaN
471,METAL,77.97996,79.279,80,75.68349,NaN
472,ENERGY,93.24472,92.1061,80,76.18561,NaN
472,FOOD,50.461166,49.820194,80,76.386154,NaN
472,METAL,77.76692,79.062416,80,75.68349,NaN
473,ENERGY,93.74424,92.59952,80,76.18561,NaN
