Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
62,METAL,79.82114,80.92758,80,75.68396,NaN
63,ENERGY,104.03368,105.47575,80,75.68396,NaN
63,FOOD,50.694214,51.396915,80,75.68396,NaN
63,METAL,80.68399,81.80239,80,75.68396,NaN
64,ENERGY,104.49982,105.94834,80,75.68396,NaN
64,FOOD,51.00898,51.71604,80,75.68396,NaN
64,METAL,80.65139,81.76934,80,75.68396,NaN
65,ENERGY,103.10616,104.53537,80,75.68396,NaN
65,FOOD,49.893986,50.585594,80,75.68396,NaN
65,METAL,82.328064,83.46926,80,75.68396,NaN
66,ENERGY,104.51342,105.962135,80,75.68396,NaN
66,FOOD,49.928658,50.620747,80,75.68396,NaN
66,METAL,80,81.108925,80,75.68396,NaN
67,ENERGY,103.61935,105.05567,80,75.68396,NaN
67,FOOD,49.46601,50.151688,80,75.68396,NaN
67,METAL,83.1892,84.34233,80,75.68396,NaN
68,ENERGY,106.717316,108.19658,80,75.68396,NaN
68,FOOD,50.49556,51.195507,80,75.68396,NaN
68,METAL,82.7234,83.87007,80,75.68396,NaN
69,ENERGY,102.97262,104.39998,80,75.68396,NaN
69,FOOD,50.200336,50.89619,80,75.68396,NaN
69,METAL,82.563065,83.70751,80,75.68396,NaN
70,ENERGY,104.53156,105.98053,80,75.68396,NaN
70,FOOD,50.50935,51.209488,80,75.68396,NaN
70,METAL,84.18885,85.355835,80,75.68396,NaN
71,ENERGY,106.330124,107.80402,80,75.68396,NaN
71,FOOD,49.596916,50.284405,80,75.68396,NaN
71,METAL,81.80249,82.9364,80,75.68396,NaN
72,ENERGY,102.50374,103.9246,80,75.68396,NaN
72,FOOD,50.295795,50.992973,80,75.68396,NaN
72,METAL,81.32335,82.450615,80,75.68396,NaN
73,ENERGY,100.93893,102.3381,80,75.68396,NaN
73,FOOD,49.95437,50.646812,80,75.68396,NaN
73,METAL,82.59902,83.74397,80,75.68396,NaN
74,ENERGY,100.03369,101.42031,80,75.68396,NaN
74,FOOD,49.95801,50.650505,80,75.68396,NaN
74,METAL,81.92586,83.06148,80,75.68396,NaN
75,ENERGY,101.14397,102.545975,80,75.68396,NaN
75,FOOD,48.46999,49.141857,80,75.68396,NaN
75,METAL,81.58247,82.71333,80,75.68396,NaN
76,ENERGY,98.40128,99.765274,80,75.68396,NaN
76,FOOD,48.54163,49.214493,80,75.68396,NaN
76,METAL,82.553474,83.69779,80,75.68396,NaN
